Precision,Recall,mAP@5, GIoU Loss, Object Loss, Classifier Loss
0.2721,    0.3512,    0.2612,    0.1003,   0.06201,  0.008789 ,   0.0177
0.2752,    0.4029,    0.2572,   0.09623,   0.05831,  0.008628 ,  0.01682
0.235,    0.2503,    0.1962,   0.06861,    0.0728,  0.009793 ,  0.02439
0.2647,    0.3945,    0.2782,    0.1064,   0.05469,  0.007878 ,  0.01327
0.2679,    0.4783,    0.3091,    0.1052,   0.05545,  0.008203 ,  0.01181
0.2367,    0.5195,     0.329,    0.1291,   0.05282,  0.007887 ,  0.01291
0.2837,    0.5528,    0.3572,     0.151,   0.05084,  0.007856 ,  0.01106
0.2951,    0.5127,    0.3895,    0.1446,   0.05217,  0.007632 ,  0.01092
0.3051,    0.5655,    0.4408,     0.171,   0.05035,  0.007481 , 0.009934
0.3085,    0.6039,    0.4222,    0.1778,   0.04962,   0.00744 , 0.009423
0.2614,    0.6045,    0.3917,    0.1333,   0.05318,  0.007649 , 0.008575
0.2674,     0.611,    0.4679,    0.1776,    0.0509,  0.007443 , 0.008407
0.2845,    0.7015,    0.4103,    0.1746,   0.04867,  0.007659 , 0.008464
0.2739,    0.6423,    0.3959,    0.1653,   0.04603,  0.007457 , 0.007428
0.2596,    0.6141,    0.4617,    0.1884,   0.04945,  0.007576 , 0.007272
0.2412,    0.6464,    0.4472,    0.2026,   0.04832,  0.007613 , 0.007451
0.279,    0.6089,    0.4562,    0.1753,    0.0477,  0.007226 , 0.006778
0.2958,    0.7304,    0.5197,    0.2233,   0.04686,  0.007195 , 0.005459
0.3067,    0.7167,    0.5418,    0.2095,   0.04713,  0.007341 , 0.006151
0.2658,    0.6278,      0.46,    0.2072,   0.04654,  0.007282 ,  0.00584
0.2804,    0.6617,    0.4912,     0.195,   0.04691,  0.007237 , 0.005285
0.2992,    0.7016,    0.4934,     0.214,   0.04461,  0.007184 , 0.005406
0.2791,    0.6839,    0.4914,    0.2104,   0.04816,  0.007115 , 0.004952
0.2878,     0.694,    0.5177,    0.2221,   0.04614,   0.00699 , 0.005006
0.3177,    0.7284,    0.5778,    0.2238,   0.04597,  0.007122 , 0.004432
0.3455,    0.7381,    0.5641,    0.2474,   0.04393,  0.006949 , 0.004684
0.3103,    0.6991,    0.5371,    0.2416,   0.04547,  0.007001 ,  0.00397
0.2908,    0.6586,    0.5697,    0.2566,   0.04449,  0.006764 , 0.004305
